id,date,from_currency,to_currency,rate
USDEUR20250420,2025-04-20,USD,EUR,0.879325
USDEUR20250421,2025-04-21,USD,EUR,0.868698
USDEUR20250422,2025-04-22,USD,EUR,0.88099
USDEUR20250423,2025-04-23,USD,EUR,0.882865
USDEUR20250424,2025-04-24,USD,EUR,0.87941
USDEUR20250425,2025-04-25,USD,EUR,0.876804
USDEUR20250426,2025-04-26,USD,EUR,0.877704
USDEUR20250427,2025-04-27,USD,EUR,0.88162
USDEUR20250428,2025-04-28,USD,EUR,0.87655
USDEUR20250429,2025-04-29,USD,EUR,0.87806
USDEUR20250430,2025-04-30,USD,EUR,0.88307
USDEUR20250501,2025-05-01,USD,EUR,0.88526
USDEUR20250502,2025-05-02,USD,EUR,0.88485
USDEUR20250503,2025-05-03,USD,EUR,0.88485
USDEUR20250504,2025-05-04,USD,EUR,0.88313
USDEUR20250505,2025-05-05,USD,EUR,0.88396
USDEUR20250506,2025-05-06,USD,EUR,0.88168
USDEUR20250507,2025-05-07,USD,EUR,0.884497
USDEUR20250508,2025-05-08,USD,EUR,0.89099
USDEUR20250509,2025-05-09,USD,EUR,0.888604
USDEUR20250510,2025-05-10,USD,EUR,0.888604
USDEUR20250511,2025-05-11,USD,EUR,0.89053
USDEUR20250512,2025-05-12,USD,EUR,0.901305
USDEUR20250513,2025-05-13,USD,EUR,0.89404
USDEUR20250514,2025-05-14,USD,EUR,0.894325
USDEUR20250515,2025-05-15,USD,EUR,0.89347
USDEUR20250516,2025-05-16,USD,EUR,0.895804
USDEUR20250517,2025-05-17,USD,EUR,0.895804
USDEUR20250518,2025-05-18,USD,EUR,0.893903
USDEUR20250519,2025-05-19,USD,EUR,0.89026
USDEUR20250520,2025-05-20,USD,EUR,0.885925
USDEUR20250521,2025-05-21,USD,EUR,0.882565
USDEUR20250522,2025-05-22,USD,EUR,0.886425
USDEUR20250523,2025-05-23,USD,EUR,0.879504
USDEUR20250524,2025-05-24,USD,EUR,0.879504
USDEUR20250525,2025-05-25,USD,EUR,0.87934
